[watts] 3.3, [volts] 123.3, [amps] 0.067, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 170.1, [mo. cost] 13.6, [max watts] 3.5, [max volts] 123.4, [max amps] 0.068, [min watts] 3.3, [min volts] 123.2, [min amps] 0.067, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.3, [volts] 123.3, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 169.6, [mo. cost] 13.5, [max watts] 3.3, [max volts] 123.4, [max amps] 0.071, [min watts] 3.3, [min volts] 123.2, [min amps] 0.066, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.3, [volts] 123.4, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 168.9, [mo. cost] 13.5, [max watts] 3.3, [max volts] 123.5, [max amps] 0.072, [min watts] 3.3, [min volts] 123.2, [min amps] 0.067, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.3, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 169.3, [mo. cost] 13.5, [max watts] 3.3, [max volts] 123.4, [max amps] 0.073, [min watts] 3.3, [min volts] 123.2, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 168.8, [mo. cost] 13.5, [max watts] 3.3, [max volts] 123.4, [max amps] 0.072, [min watts] 3.3, [min volts] 123.3, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 3.3, [volts] 123.4, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 168.1, [mo. cost] 13.4, [max watts] 3.3, [max volts] 123.4, [max amps] 0.072, [min watts] 3.3, [min volts] 123.3, [min amps] 0.067, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.3, [volts] 123.4, [amps] 0.075, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 168.3, [mo. cost] 13.4, [max watts] 3.3, [max volts] 123.4, [max amps] 0.075, [min watts] 3.3, [min volts] 123.2, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.5, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 167.6, [mo. cost] 13.4, [max watts] 3.3, [max volts] 123.5, [max amps] 0.075, [min watts] 3.3, [min volts] 123.2, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.4, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 167.4, [mo. cost] 13.3, [max watts] 3.3, [max volts] 123.6, [max amps] 0.072, [min watts] 3.3, [min volts] 123.4, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.4, [volts] 123.5, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 167.6, [mo. cost] 13.4, [max watts] 3.4, [max volts] 123.5, [max amps] 0.074, [min watts] 3.3, [min volts] 123.3, [min amps] 0.068, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.5, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 167.2, [mo. cost] 13.3, [max watts] 3.4, [max volts] 123.5, [max amps] 0.071, [min watts] 3.3, [min volts] 123.3, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 167.0, [mo. cost] 13.3, [max watts] 3.3, [max volts] 123.5, [max amps] 0.071, [min watts] 3.3, [min volts] 123.3, [min amps] 0.066, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.4, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 167.0, [mo. cost] 13.3, [max watts] 3.4, [max volts] 123.5, [max amps] 0.072, [min watts] 3.3, [min volts] 123.3, [min amps] 0.067, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 166.8, [mo. cost] 13.3, [max watts] 3.4, [max volts] 123.4, [max amps] 0.073, [min watts] 3.3, [min volts] 123.2, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.4, [amps] 0.069, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 166.8, [mo. cost] 13.3, [max watts] 3.3, [max volts] 123.5, [max amps] 0.076, [min watts] 3.3, [min volts] 123.3, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.4, [volts] 123.4, [amps] 0.067, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 166.6, [mo. cost] 13.3, [max watts] 3.4, [max volts] 123.5, [max amps] 0.072, [min watts] 3.3, [min volts] 123.3, [min amps] 0.067, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.5, [amps] 0.067, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 166.0, [mo. cost] 13.2, [max watts] 3.4, [max volts] 123.5, [max amps] 0.071, [min watts] 3.3, [min volts] 123.3, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.3, [volts] 123.4, [amps] 0.068, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 165.9, [mo. cost] 13.2, [max watts] 3.3, [max volts] 123.5, [max amps] 0.071, [min watts] 3.3, [min volts] 123.3, [min amps] 0.067, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 3.3, [volts] 123.4, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 165.4, [mo. cost] 13.2, [max watts] 3.3, [max volts] 123.5, [max amps] 0.071, [min watts] 3.3, [min volts] 123.2, [min amps] 0.067, [power factor] 36.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
