[watts] 3.4, [volts] 123.3, [amps] 0.066, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 199.7, [mo. cost] 15.9, [max watts] 3.7, [max volts] 123.3, [max amps] 0.066, [min watts] 3.4, [min volts] 123.0, [min amps] 0.064, [power factor] 39.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.6
[watts] 3.2, [volts] 123.1, [amps] 0.065, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 192.6, [mo. cost] 15.4, [max watts] 3.4, [max volts] 123.3, [max amps] 0.066, [min watts] 3.2, [min volts] 123.0, [min amps] 0.064, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.6
[watts] 3.1, [volts] 123.2, [amps] 0.066, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 186.2, [mo. cost] 14.8, [max watts] 3.2, [max volts] 123.2, [max amps] 0.066, [min watts] 3.1, [min volts] 122.9, [min amps] 0.064, [power factor] 37.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
[watts] 2.9, [volts] 123.1, [amps] 0.066, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 180.3, [mo. cost] 14.4, [max watts] 3.1, [max volts] 123.2, [max amps] 0.069, [min watts] 2.9, [min volts] 123.0, [min amps] 0.065, [power factor] 32.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.9
[watts] 2.8, [volts] 123.1, [amps] 0.065, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 174.4, [mo. cost] 13.9, [max watts] 2.9, [max volts] 123.2, [max amps] 0.066, [min watts] 2.8, [min volts] 123.0, [min amps] 0.065, [power factor] 32.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.6
[watts] 2.7, [volts] 123.2, [amps] 0.066, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 169.0, [mo. cost] 13.5, [max watts] 2.8, [max volts] 123.3, [max amps] 0.068, [min watts] 2.7, [min volts] 123.0, [min amps] 0.065, [power factor] 31.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.6
[watts] 2.6, [volts] 123.1, [amps] 0.073, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 166.4, [mo. cost] 13.3, [max watts] 2.7, [max volts] 123.2, [max amps] 0.073, [min watts] 2.6, [min volts] 123.0, [min amps] 0.065, [power factor] 30.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.6
[watts] 2.8, [volts] 123.2, [amps] 0.073, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 168.8, [mo. cost] 13.5, [max watts] 2.8, [max volts] 123.2, [max amps] 0.074, [min watts] 2.6, [min volts] 123.0, [min amps] 0.070, [power factor] 30.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 3.0, [volts] 123.3, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 171.0, [mo. cost] 13.6, [max watts] 3.0, [max volts] 123.3, [max amps] 0.073, [min watts] 2.8, [min volts] 123.0, [min amps] 0.070, [power factor] 31.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 3.2, [volts] 123.2, [amps] 0.072, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 173.5, [mo. cost] 13.8, [max watts] 3.2, [max volts] 123.3, [max amps] 0.073, [min watts] 3.0, [min volts] 123.0, [min amps] 0.071, [power factor] 34.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
