[watts] 4.6, [volts] 122.8, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 248.3, [mo. cost] 19.8, [max watts] 4.6, [max volts] 123.0, [max amps] 0.072, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 248.2, [mo. cost] 19.8, [max watts] 4.6, [max volts] 123.1, [max amps] 0.072, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.6, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 247.8, [mo. cost] 19.8, [max watts] 4.6, [max volts] 123.0, [max amps] 0.071, [min watts] 4.6, [min volts] 122.9, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 247.7, [mo. cost] 19.8, [max watts] 4.6, [max volts] 123.0, [max amps] 0.072, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.6, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 247.4, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.0, [max amps] 0.072, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 247.0, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.0, [max amps] 0.072, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 122.9, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 246.7, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.0, [max amps] 0.071, [min watts] 4.6, [min volts] 122.8, [min amps] 0.069, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.6, [volts] 122.9, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 246.6, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.0, [max amps] 0.073, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.4
[watts] 4.6, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 246.8, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.0, [max amps] 0.074, [min watts] 4.6, [min volts] 122.9, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.6, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 247.0, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.0, [max amps] 0.073, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.6, [volts] 123.0, [amps] 0.070, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 246.9, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.0, [max amps] 0.072, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.1
[watts] 4.6, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 246.6, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.0, [max amps] 0.071, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 48.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 59.9, [VA] 9.4
[watts] 4.6, [volts] 123.0, [amps] 0.071, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 246.5, [mo. cost] 19.7, [max watts] 4.6, [max volts] 123.1, [max amps] 0.072, [min watts] 4.6, [min volts] 122.8, [min amps] 0.070, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.5, [volts] 123.0, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 244.9, [mo. cost] 19.5, [max watts] 4.6, [max volts] 123.1, [max amps] 0.072, [min watts] 4.5, [min volts] 122.8, [min amps] 0.064, [power factor] 49.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 9.1
[watts] 4.2, [volts] 122.9, [amps] 0.064, [watt hours] 0.0, [cost] 0.0, [mo. kWh] 241.3, [mo. cost] 19.3, [max watts] 4.5, [max volts] 123.0, [max amps] 0.064, [min watts] 4.2, [min volts] 122.8, [min amps] 0.063, [power factor] 50.0, [duty cycle] 0.0, [power cycle] 0.0, [frequency] 60.0, [VA] 8.3
