Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:46:54  28.8   0.0  13.1  58.1   0.0    3  12298   3420   0.00E
13:46:55  37.5   0.0  19.5  42.5   0.5    8  20722   5732   0.00E
13:46:55  36.7   0.0  15.0  48.4   0.0    5  18598   7068   0.00E
13:46:56  38.2   0.0  20.6  41.0   0.3    5  17392   8758   0.00E
13:46:56  26.7   0.0  13.4  59.7   0.3    5  12850   7196   0.00E
13:46:57  26.6   0.0  19.6  53.8   0.0    4   4592   2996   0.00E
13:46:57  30.5   0.0  13.0  56.5   0.0    4  11598   4516   0.00E
13:46:58  41.1   0.0  23.9  34.8   0.3    8  25246   5834   0.00E
13:46:58  11.5   0.0  10.7  77.6   0.3    3  11160   7160   0.00E
13:46:59  18.1   0.0  20.4  59.4   2.0    3  14134   9688   0.00E
13:46:59  12.7   0.0  10.7  76.6   0.0    3  10322   7932   0.00E
13:47:00  16.2   0.0  19.5  64.1   0.3    5   7422   7768   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:47:00   8.9   0.0   8.9  82.3   0.0    3   2998   2328   0.00E
13:47:01  14.0   0.0  18.8  67.2   0.0    2   3344   2844   0.00E
13:47:01  10.7   0.0  10.7  78.7   0.0    8   4036   2706   0.00E
13:47:02  12.3   0.0  16.6  71.1   0.0    2   3912   4436   0.00E
13:47:02  15.3   0.0  16.3  68.3   0.0    5  12424   9652   0.00E
13:47:03  11.3   0.0  15.1  73.4   0.3    2   6612   7606   0.00E
13:47:03  21.0   0.0  15.9  63.0   0.0    6   5100   7724   0.00E
13:47:04  23.3   0.0  13.4  63.0   0.3    3   9134   9164   0.00E
13:47:04  25.6   0.0  19.5  54.8   0.0    3   5744   3694   0.00E
13:47:05  20.0   0.0  11.6  68.1   0.3    3   3412   2858   0.00E
13:47:05  24.5   0.0  19.8  55.8   0.0    4   3356   2810   0.00E
13:47:06  22.9   0.0  11.8  65.3   0.0    5   8884   7948   0.00E
13:47:06  26.8   0.0  19.4  53.5   0.3    4   5094   4308   0.00E
13:47:07  22.8   0.0  12.0  65.2   0.0    4   5490   4982   0.00E
13:47:07  26.4   0.0  19.6  53.8   0.3    5   4644   3674   0.00E
13:47:08  20.9   0.0  10.1  69.0   0.0    5   3016   2600   0.00E
13:47:08  25.4   0.0  19.6  54.9   0.0    3   2898   2908   0.00E
13:47:09  20.5   0.0  11.1  68.4   0.0    5   4340   3278   0.00E
13:47:09  27.8   0.0  19.2  52.8   0.3    4   2822   2608   0.00E
13:47:10  24.0   0.0  10.0  66.0   0.0    4   9186   8412   0.00E
13:47:10  28.4   0.0  20.6  51.0   0.0    4   5316   8168   0.00E
13:47:11  20.1   0.0  11.6  68.3   0.0    4   3502   3102   0.00E
13:47:11  24.7   0.0  18.6  56.7   0.0    4   2616   2534   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:47:12  23.2   0.0  12.6  64.2   0.0    6   3412   2820   0.00E
13:47:12  24.6   0.0  15.4  59.7   0.3    3   3666   4166   0.00E
13:47:13  23.0   0.0  16.5  60.5   0.0    6   3798   3722   0.00E
13:47:13  24.9   0.0  13.3  61.8   0.0    4   3030   2502   0.00E
13:47:14  25.7   0.0  17.1  57.2   0.0    6   2966   2690   0.00E
13:47:14  19.8   0.0  12.8  67.4   0.0    3   2488   2458   0.00E
13:47:15  25.0   0.0  19.4  55.6   0.0    4   3044   2758   0.00E
13:47:15  23.1   0.0  11.4  65.2   0.3    3   7414   6760   0.00E
13:47:16  27.7   0.0  19.0  53.3   0.0    4   6410   7642   0.00E
13:47:16  22.7   0.0  11.6  65.4   0.3    4   4996   3174   0.00E
13:47:17  25.1   0.0  18.5  56.5   0.0    5   2618   2848   0.00E
13:47:17  23.8   0.0  10.2  66.0   0.0    4   2770   2486   0.00E
13:47:18  25.9   0.0  19.3  54.8   0.0    5   3528   2922   0.00E
13:47:18  20.7   0.0   9.3  70.0   0.0    3   2416   2472   0.00E
13:47:19  25.3   0.0  21.0  53.8   0.0    3   3304   3910   0.00E
13:47:19  23.2   0.0  11.8  64.7   0.3    4   9448   8866   0.00E
13:47:20  29.1   0.0  19.0  51.9   0.0    6   5638   5934   0.00E
13:47:20  22.1   0.0  12.0  65.9   0.0    4   7822   7832   0.00E
13:47:21  25.5   0.0  20.5  53.5   0.5    4   3422   2898   0.00E
13:47:21  22.0   0.0  10.6  67.4   0.0    8   5742   5684   0.00E
13:47:22  29.6   0.0  19.4  51.0   0.0    2   7414   6452   0.00E
13:47:22  22.6   0.0  12.6  64.6   0.3    7   4032   3824   0.00E
13:47:23  25.0   0.0  15.2  59.8   0.0    3   2838   2722   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:47:23  23.5   0.0  15.2  61.4   0.0    7   2874   2692   0.00E
13:47:24  23.6   0.0  13.5  62.9   0.0    4   3026   2706   0.00E
13:47:24  27.7   0.0  16.0  56.4   0.0    5   2612   2692   0.00E
13:47:25  21.5   0.0  11.1  67.4   0.0    3   2904   2678   0.00E
13:47:25  26.6   0.0  20.4  52.8   0.3    3   3488   3082   0.00E
13:47:26  21.7   0.0   9.8  68.5   0.0    4   2844   2578   0.00E
13:47:26  28.9   0.0  17.0  54.2   0.0    5   3518   3216   0.00E
13:47:27  22.3   0.0  10.9  66.8   0.0    4   3306   2842   0.00E
13:47:27  25.7   0.0  18.4  55.9   0.0    4   3210   2838   0.00E
13:47:28  21.2   0.0  11.1  67.7   0.0    5   4386   3718   0.00E
13:47:28  25.1   0.0  19.5  55.4   0.0    4   2646   2826   0.00E
13:47:29  20.4   0.0   9.9  69.7   0.0    3   3252   2624   0.00E
13:47:29  26.3   0.0  19.3  54.4   0.0    3   3446   2830   0.00E
13:47:30  19.9   0.0  10.1  69.9   0.0    4   3730   2882   0.00E
13:47:30  26.8   0.0  20.5  52.5   0.3    4   6954   7270   0.00E
13:47:31  21.2   0.0  10.6  68.3   0.0    4   4616   4244   0.00E
13:47:31  25.1   0.0  20.3  54.7   0.0    4   5598   6982   0.00E
13:47:32  21.4   0.0  12.1  66.6   0.0    6   6292   6488   0.00E
13:47:32  25.1   0.0  18.8  55.8   0.3    3   3718   3652   0.00E
13:47:33  22.6   0.0  13.6  63.8   0.0    6   2982   2492   0.00E
13:47:33  22.3   0.0  16.5  61.3   0.0    3   2974   2580   0.00E
13:47:34  25.7   0.0  16.4  57.9   0.0    7   4092   3016   0.00E
13:47:34  21.9   0.0  13.1  65.1   0.0   10   2628   2596   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
13:47:35  26.1   0.0  17.8  55.9   0.3    5   3326   2760   0.00E
